Day,moduleColor,GO_term,GO_ID,ontology,pvalue,Gene_count,Gene_ratio,Transcript_ID,Protein_name,KEGG_ID
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022443630.1," 28S ribosomal protein S14, mitochondrial-like",crg:105338952
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022478229.1," 28S ribosomal protein S16, mitochondrial-like",crg:105323603
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022474388.1," 39S ribosomal protein L14, mitochondrial-like",crg:105320386
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022481325.1," 39S ribosomal protein L23, mitochondrial-like",crg:105339899
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022452387.1, 40S ribosomal protein S11-like,crg:105317506
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022457605.1, 40S ribosomal protein S12-like,crg:105348494
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022432795.1, 40S ribosomal protein S13-like,crg:105338085
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022461359.1, 40S ribosomal protein S14,crg:105339837
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022474258.1, 40S ribosomal protein S15-like,crg:105332215
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022457754.1, 40S ribosomal protein S15Aa,crg:105331157
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022477790.1, 40S ribosomal protein S17-like,crg:105343260
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022473375.1, 40S ribosomal protein S17-like,crg:105343260
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022470798.1, 40S ribosomal protein S18,crg:105347800
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022471799.1, 40S ribosomal protein S19-like,crg:105348656
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022458026.1, 40S ribosomal protein S20,crg:105340582
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022441163.1, 40S ribosomal protein S23,crg:105348430
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022442456.1, 40S ribosomal protein S23,crg:105348430
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022453248.1, 40S ribosomal protein S27-like,crg:105323167
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022454936.1, 40S ribosomal protein S27-like,crg:105323167
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022471167.1, 40S ribosomal protein S3,crg:105335873
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022470475.1, 40S ribosomal protein S3,crg:105335873
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022470538.1, 40S ribosomal protein S3a-like,crg:109618165
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022435081.1, 40S ribosomal protein S4-like,crg:105332495
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022438304.1, 40S ribosomal protein S4-like,crg:105332495
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022477001.1, 40S ribosomal protein S6-like,crg:105341326
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022478004.1, 40S ribosomal protein S6-like,crg:105341326
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022463302.1, 40S ribosomal protein S7-like,crg:105319797
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022484792.1, 40S ribosomal protein S8-like,crg:105340032
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022457442.1, 40S ribosomal protein S9,crg:105341101
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022460201.1, 60S ribosomal protein L10-like,crg:105336480
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022460564.1, 60S ribosomal protein L10-like,crg:105336480
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022475787.1, 60S ribosomal protein L11-like,crg:105338035
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022458920.1, 60S ribosomal protein L12-like,crg:105324073
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022486262.1, 60S ribosomal protein L13-like,crg:105337746
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022436139.1, 60S ribosomal protein L13a-like,crg:105335803
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022482338.1, 60S ribosomal protein L14-like,crg:105332844
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022486934.1, 60S ribosomal protein L14-like,crg:105332844
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022474564.1, 60S ribosomal protein L17-like,crg:105323475
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022474462.1, 60S ribosomal protein L17-like,crg:105323475
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022440951.1, 60S ribosomal protein L18a-like,crg:105326463
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022464806.1, 60S ribosomal protein L21-like,crg:105323549
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022487604.1, 60S ribosomal protein L22-like,crg:105345379
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022457419.1, 60S ribosomal protein L23,crg:105326418
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022480834.1, 60S ribosomal protein L23a-like,crg:105340451
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022487266.1, 60S ribosomal protein L26-like,crg:105325638
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022448430.1, 60S ribosomal protein L27,crg:105347733
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022460725.1, 60S ribosomal protein L27a-like,crg:105324627
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022470420.1, 60S ribosomal protein L28-like,crg:105332917
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022485315.1, 60S ribosomal protein L30-like,crg:105330605
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022434060.1, 60S ribosomal protein L32-like,crg:105346165
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022458870.1, 60S ribosomal protein L34-like,crg:105319282
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022472613.1, 60S ribosomal protein L35-like,crg:105338614
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022434493.1, 60S ribosomal protein L35a-like,crg:105333469
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022478379.1, 60S ribosomal protein L36-like,crg:105332946
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022477814.1, 60S ribosomal protein L36-like,crg:105332946
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022452991.1, 60S ribosomal protein L37a,crg:105323629
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022435531.1, 60S ribosomal protein L44-like,crg:105348141
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022439982.1, 60S ribosomal protein L44-like,crg:105348141
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022488340.1, 60S ribosomal protein L8-like,crg:105323486
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022472493.1, 60S ribosomal protein L9-like,crg:105348361
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022465789.1, 60S ribosomal protein L9-like,crg:105348361
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022461471.1, probable 60S ribosomal protein L37-A,crg:105328963
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022478636.1, ubiquitin-40S ribosomal protein S27a,crg:105348876
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022464403.1, ubiquitin-60S ribosomal protein L40,crg:105348876
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022479294.1, ubiquitin-like protein FUBI,crg:105327279
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022463006.1, uncharacterized,crg:105331161
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022467115.1, uncharacterized,crg:105321548
Day2,black,translation,GO:0006412,BP,1.31E-100,68,0.246376812,XM_022467108.1, uncharacterized,crg:105321548
Day2,black,ribosome biogenesis,GO:0042254,BP,4.95E-99,68,0.26984127,XM_022443630.1," 28S ribosomal protein S14, mitochondrial-like",crg:105338952
