"","TranscriptID","fullID","Function","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A1.spat","A2.spat","A3.spat","A4.spat","A5.spat","A6.spat","A7.spat","A8.spat","A9.spat","A10.spat","A11.spat"
"350","XM_022436217.1","XM_022436217.1 PREDICTED: Crassostrea virginica basic salivary proline-rich protein 1-like (LOC111103159), mRNA"," basic salivary proline-rich protein 1-like (LOC111103159), mRNA","LOC111103159",881.676491722675,-7.0426581544329,0.67868625678641,-10.3768981381471,3.15871736568989e-25,1.52060653984311e-21,2422.79596611182,2885.2963058052,3794.1952705757,36.4559178847644,14.6435627623245,61.8784421244748,83.9214350414501,56.5506649192645,122.188930719633,87.5457385624422,132.969174442348
"2501","XM_022468291.1","XM_022468291.1 PREDICTED: Crassostrea virginica thioredoxin domain-containing protein 3 homolog (LOC111124944), transcript variant X10, mRNA"," thioredoxin domain-containing protein 3 homolog (LOC111124944), transcript variant X10, mRNA","LOC111124944",27.2201237788507,16.4262747778376,1.80340559959024,9.10847497732616,8.35480582563512e-20,2.01100176223037e-16,0,0,0,55.1765243661299,50.4389384035623,77.8168287322941,55.9476233609667,60.0414467044043,0,0,0
"1196","XM_022453291.1","XM_022453291.1 PREDICTED: Crassostrea virginica cilia- and flagella-associated protein 69-like (LOC111114815), mRNA"," cilia- and flagella-associated protein 69-like (LOC111114815), mRNA","LOC111114815",38.9091508862575,17.493362586813,1.98097359627463,8.83068942448833,1.04032482456415e-18,1.66937456848394e-15,0,0,0,40.3970981966308,45.5577508161208,92.8176631867123,98.4263744313304,150.801773118039,0,0,0
"98","XM_022432113.1","XM_022432113.1 PREDICTED: Crassostrea virginica serine protease inhibitor Cvsi-2-like (LOC111100345), mRNA"," serine protease inhibitor Cvsi-2-like (LOC111100345), mRNA","LOC111100345",493.978054807991,-3.51169709119385,0.426362050897553,-8.23642039389112,1.7743965474471e-16,1.94097556093061e-13,1861.76787562439,960.026257266107,1136.48428360586,213.809031918753,212.331660053706,245.638664191097,113.967380920488,92.1566391276903,237.946865085601,177.546030542523,182.083914551684
"3707","XM_022480907.1","XM_022480907.1 PREDICTED: Crassostrea virginica RRP12-like protein (LOC111132948), mRNA"," RRP12-like protein (LOC111132948), mRNA","LOC111132948",143.929102963581,10.1730602252464,1.23742867064198,8.22112859238067,2.01596963121169e-16,1.94097556093061e-13,0,0,0,138.926605993291,181.417471999909,127.507092862554,255.908573521459,354.663429370202,155.262626252767,174.273292652338,195.261039946871
"2318","XM_022465483.1","XM_022465483.1 PREDICTED: Crassostrea virginica N-acetylneuraminate lyase B-like (LOC111123254), mRNA"," N-acetylneuraminate lyase B-like (LOC111123254), mRNA","LOC111123254",14.9971359994863,14.4102707733947,1.80702003911251,7.97460485301094,1.52869116858565e-15,1.22651988092855e-12,0,0,0,39.4118031186642,43.1171570224,39.3771904428476,20.7213419855432,22.3410034248946,0,0,0
"4538","XM_022489208.1","XM_022489208.1 PREDICTED: Crassostrea virginica fatty acid-binding protein, intestinal-like (LOC111137652), mRNA"," fatty acid-binding protein, intestinal-like (LOC111137652), mRNA","LOC111137652",123.938136524319,11.6901126962537,1.50333355536715,7.77612703083627,7.47786186725358e-15,5.14263243270839e-12,0,0,0,336.970916664579,135.859721183789,465.025868086962,109.823112523379,151.499929475067,30.3175542387059,52.3638062429561,81.4585933520689
"778","XM_022444503.1","XM_022444503.1 PREDICTED: Crassostrea virginica uncharacterized LOC111108533 (LOC111108533), mRNA"," uncharacterized LOC111108533 (LOC111108533), mRNA","LOC111108533",112.91094850715,26.1984843382774,3.63175659074074,7.21372252894678,5.44426374216116e-13,3.27608570684548e-10,0,0,211.981867196821,139.911901071258,217.212847641147,272.82767663973,222.75442634459,177.331714685101,0,0,0
"1705","XM_022460067.1","XM_022460067.1 PREDICTED: Crassostrea virginica nephrocystin-4-like (LOC111119660), mRNA"," nephrocystin-4-like (LOC111119660), mRNA","LOC111119660",143.422877345382,9.40124807928208,1.31280386156711,7.16119776495757,7.99751742323549e-13,4.27778320838396e-10,0,0,0,192.132540203488,153.757409004408,76.879276578893,251.76430512435,233.882379604366,247.134002733694,218.455254169832,203.646483380172
"2395","XM_022466609.1","XM_022466609.1 PREDICTED: Crassostrea virginica retinoic acid receptor RXR-like (LOC111123907), transcript variant X4, mRNA"," retinoic acid receptor RXR-like (LOC111123907), transcript variant X4, mRNA","LOC111123907",57.6796488042314,8.78368115714592,1.24467793135734,7.05699115880297,1.70146444669723e-12,8.19084984640047e-10,0,0,0,63.0588849898627,62.641907372166,60.0033378176726,108.787045424102,122.87551883692,56.9602534181747,67.9093112213337,92.2398777663134
