"","geneSymbol","TranscriptID","moduleColor","KEGG_ID","Protein_name","gene_length","GO.terms","GS.HHM","p.GS.HHM","MM.red","p.MM.red","MM.blue","p.MM.blue","MM.cyan","p.MM.cyan","MM.tan","p.MM.tan","MM.turquoise","p.MM.turquoise","MM.greenyellow","p.MM.greenyellow","MM.black","p.MM.black","MM.magenta","p.MM.magenta","MM.salmon","p.MM.salmon","MM.brown","p.MM.brown","MM.purple","p.MM.purple","MM.green","p.MM.green"
"XM_022470584.1","LOC111126154","XM_022470584.1","black","crg:105317956"," cilia- and flagella-associated protein 77-like",279,"",0.649577387146724,0.0420768112616543,-0.26317578229917,0.462546912481343,0.389089076143306,0.266438445807767,0.718365213171664,0.0192701183140676,-0.319679934558487,0.367889860279341,-0.372351950266842,0.289325764060196,0.291026360344004,0.414614426139626,0.767551410944977,0.00954358145657871,0.331014661125831,0.350165083280575,-0.0681590587328437,0.851592788382681,0.0815620967617913,0.822765080903438,-0.0822905741198481,0.821203409245513,0.264300613007234,0.460564914220027
"XM_022455444.1",NA,NA,"black",NA,NA,NA,NA,0.644638267583403,0.0441985814606614,-0.455712159056558,0.185632787812875,0.624979709322279,0.0533519397795321,0.65396073706294,0.0402520278265397,-0.0524689379845475,0.885539653144765,-0.434595780157626,0.209446473992417,0.0942989406616042,0.795545593522064,0.837127858473913,0.00251685127801702,0.371755855663857,0.290159721432829,-0.361956160538261,0.304053866894949,0.536468418681382,0.109889774030181,0.0408763833800934,0.910732166743404,0.263722051777636,0.461583889496012
"XM_022484013.1","LOC111134707","XM_022484013.1","black","crg:105337759"," apoptotic chromatin condensation inducer in the nucleus-like",1099,"GO:0003674",0.639212588138472,0.046610667130554,-0.430617790611749,0.214120003154595,0.576787731781041,0.0808813785892697,0.764117893072782,0.010074612402345,-0.192892616329729,0.593399842611149,-0.405563117642899,0.244916579278564,0.153822436935032,0.671362749037488,0.730058386432501,0.0165191484921957,0.498433564444928,0.142563399153815,-0.242080707845046,0.50040583347661,0.583785966189248,0.0764144365209981,0.147810527718641,0.683636568254167,0.233901926344669,0.515425606649301
"XM_022467469.1","LOC111124533","XM_022467469.1","black","crg:105328411"," MAM and LDL-receptor class A domain-containing protein 2-like",528,"GO:0005575",0.613502861603139,0.0592361672142356,-0.59828581305328,0.0676757281015996,0.79987899869604,0.00546835935810264,0.610979009594877,0.0605850965586689,0.0568727420137177,0.875992498903627,-0.561777657273201,0.0910215348173019,0.0353982673872215,0.922663244494325,0.851504310037595,0.00177120231577199,0.33244577004947,0.34795847694336,-0.572380800749969,0.0837788939033915,0.509105809481819,0.132862685818632,-0.149515206423107,0.680149400990631,0.357839975393147,0.309992802162842
"XM_022444635.1","LOC111108634","XM_022444635.1","black","crg:105339461"," protein shisa-4-like",188,"",0.586712460000069,0.0745949388695683,-0.537715231455227,0.108907272032628,0.754072973300647,0.0117472912731927,0.703354046226363,0.0232464668278406,-0.0667467455569655,0.854640243727032,-0.55937414744798,0.092717047425025,0.147785725565804,0.683687344598387,0.836439884611416,0.00255740071405967,0.343596080448972,0.331009279318738,-0.460730376663768,0.180219839107546,0.492683066099867,0.14796469468134,-0.0613021801187651,0.866404282250485,0.366901812556551,0.296998566837765
"XM_022435849.1","LOC111102907","XM_022435849.1","black","crg:105320076"," charged multivesicular body protein 2a-like",222,"GO:0007034",0.572800094105485,0.0835003807940088,-0.210973854031655,0.558493510753968,0.28498641183587,0.424804114113682,0.402970820479399,0.248236569000604,-0.0721031722301416,0.843091751036877,-0.200417061357787,0.578777046650466,0.0945424721691053,0.795026989874063,0.670239483946612,0.0339422594789967,0.312861258264787,0.37876245826911,-0.088794039032001,0.807287246822748,0.439443028186931,0.20383197116017,0.248499357630481,0.488750089634877,0.140685171369221,0.698270256944813
"XM_022436059.1","LOC111103061","XM_022436059.1","black","crg:105328579"," coiled-coil domain-containing protein 191-like",974,"",0.564267582109263,0.0892861020136754,-0.484775699824652,0.155592190490208,0.695917788168661,0.0254109168125045,0.570224698949709,0.0852205103614621,0.108504373692721,0.765421406273505,-0.521726631456939,0.121929451832195,-0.014700770318056,0.967849013764644,0.874103137806653,0.00094160685749322,0.470069760160408,0.170397320276389,-0.543467058197138,0.104446423858225,0.499715159567414,0.141376296447151,-0.140985928644636,0.697650727106064,0.369239930973944,0.293693766549837
"XM_022435612.1","LOC111102738","XM_022435612.1","black","crg:105322214"," probable acyl-CoA dehydrogenase 6",460,"GO:0016491;GO:0043167",0.554370120448933,0.0963113685151246,-0.509388201432965,0.132611687840031,0.641398320496855,0.0456286425648133,0.450278923796919,0.191600009160522,0.0731794705473578,0.840774423667797,-0.482004458315339,0.158320395567117,0.0250878162642157,0.945154930017976,0.882838741443263,0.000714019026919933,0.357957573073651,0.309822288374788,-0.459473353534394,0.181566866090541,0.296324068974372,0.405772982840574,-0.166836193034331,0.64503555278794,0.365912999624458,0.298402133521909
"XM_022445801.1","LOC111109609","XM_022445801.1","black","crg:105335683"," uncharacterized",197,"",0.547850427046763,0.101125602474697,-0.204970748657424,0.569993904673918,0.291309943786813,0.414138864288645,0.408792876432159,0.240815124546511,0.0240226163880361,0.947480841722868,-0.204102869301047,0.571663948397478,-0.0242986055012341,0.946878172180704,0.687638855695755,0.0279788305321864,0.500175365208331,0.140951501952098,-0.171499355725713,0.635685867464593,0.507772926183257,0.134051338973826,0.187222501931217,0.60450700638929,0.149414562670582,0.680355131524543
"XM_022464233.1","LOC111122437","XM_022464233.1","black","crg:105342344"," YTH domain-containing protein 1-like",640,"GO:0003723",0.52908837197632,0.115819284867623,-0.579048578391882,0.0794203341225325,0.648911966989854,0.0423585926195855,0.262878903691502,0.46307065682054,0.373509270247111,0.287710312200181,-0.356692598313364,0.311659061478673,-0.320912355095818,0.365941451158516,0.78165981565369,0.00756738154100819,0.464502250458246,0.176213478251811,-0.645692285535133,0.043739908231241,0.548545258555558,0.100605424577816,-0.192460021955607,0.594244615124959,0.211555968262512,0.557383142230443
