"","TranscriptID","GO.terms","Protein_name","KEGG_ID","moduleColor","MM.p","MM.cor"
"1","XM_022460918.1","GO:0008233"," transmembrane protease serine 9-like","crg:105348511","blue",2.74298428198411e-08,0.991077723265548
"2","XM_022471612.1","GO:0043167"," uncharacterized","crg:105345683","blue",3.03264348532472e-07,0.98369421724494
"3","XM_022447249.1","GO:0003674"," complement C1q tumor necrosis factor-related protein 4-like","crg:105321924","blue",1.00493923795998e-06,0.977961938257809
"4","XM_022463559.1",""," uncharacterized","crg:105325119","blue",1.17799532821422e-06,0.9770626906858
"5","XM_022477524.1",""," uncharacterized","crg:105334563","blue",2.04585313835376e-06,0.973641236741569
"6","XM_022433550.1",""," perlucin-like protein","crg:105320263","blue",2.04999566784539e-06,0.973627796406116
"7","XM_022490366.1","GO:0003674"," uncharacterized","crg:105336744","blue",2.10671935926396e-06,0.973445764391209
"8","XM_022489359.1",""," uncharacterized","crg:105330572","blue",2.13209737700474e-06,0.97336550594879
"9","XM_022438458.1","GO:0003674"," complement C1q tumor necrosis factor-related protein 3-like","crg:105319672","blue",2.34686941562001e-06,0.972713317118034
"10","XM_022437394.1",""," macrophage mannose receptor 1-like","crg:105329217","blue",3.16586553935661e-06,0.970573859781045
"11","XM_022472143.1",""," mannan endo-1,4-beta-mannosidase-like","crg:105340630","blue",3.53948235032322e-06,0.969733948878935
"12","XM_022451406.1","GO:0043167"," uncharacterized","crg:105324594","blue",3.6505022575582e-06,0.969497167080897
"13","XM_022444218.1",""," echinoidin-like","crg:105349103","blue",3.78539559217882e-06,0.969216584087248
"14","XM_022438501.1","GO:0003674"," complement C1q tumor necrosis factor-related protein 3-like","crg:105319672","blue",5.30144302278285e-06,0.966484343081689
"15","XM_022433377.1","GO:0002376;GO:0005618;GO:0006950;GO:0009056;GO:0009058;GO:0016810;GO:0043167;GO:0071554"," peptidoglycan-recognition protein SC2-like","crg:105325078","blue",5.56241893279206e-06,0.966075056970872
"16","XM_022478513.1","GO:0003674"," complement C1q-like protein 3","crg:105343853","blue",6.35967371841135e-06,0.964907363683184
"17","XM_022488726.1",""," uncharacterized","crg:105342238","blue",7.63423263664064e-06,0.963249135360574
"18","XM_022449833.1","GO:0003674"," complement C1q tumor necrosis factor-related protein 3-like","crg:105324221","blue",7.83285280092288e-06,0.963009702249541
"19","XM_022459436.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S24-like","crg:105331823;crg:105340909","blue",8.83525284433534e-06,0.961865883817682
"20","XM_022461391.1","GO:0008233"," trypsin-1-like","crg:105348513","blue",9.06088397582738e-06,0.961621868556205
"21","XM_022445716.1","GO:0003674;GO:0005576;GO:0008150"," uncharacterized","crg:105317748","blue",9.92479156749624e-06,0.960727391119411
"22","XM_022448304.1","GO:0003674;GO:0006629;GO:0009056"," phospholipase B1, membrane-associated-like","crg:105344760","blue",1.11277552483988e-05,0.959573715286684
"23","XM_022473649.1","GO:0008233"," methionine aminopeptidase 1D, mitochondrial-like","crg:105334558","blue",1.13124087409519e-05,0.959404954761609
"24","XM_022470695.1",""," uncharacterized","crg:105337550","blue",1.34724176447258e-05,0.957568478501778
"25","XM_022482408.1",""," uncharacterized","crg:105327123","blue",1.53600597090559e-05,0.956135299454279
"26","XM_022437392.1",""," macrophage mannose receptor 1-like","crg:105329217","blue",1.63490350428986e-05,0.955436164619223
"27","XM_022457463.1",""," cartilage matrix protein-like","crg:105345192","blue",1.69035309299369e-05,0.955057833844036
"28","XM_022434111.1",""," lithostathine-1-like","crg:105335359","blue",1.69344236343244e-05,0.955037028619446
"29","XM_022484544.1","GO:0008233;GO:0043167"," carboxypeptidase B-like","crg:105346494","blue",1.88332321398839e-05,0.953809112107867
"30","XM_022466028.1","GO:0043167"," uncharacterized","crg:105338611","blue",1.92589907911077e-05,0.953546517246598
"31","XM_022489582.1",""," uncharacterized","crg:105321297","blue",1.934834823015e-05,0.953491952814865
"32","XM_022439204.1","GO:0043167"," uncharacterized","crg:105332329","blue",2.04081503794229e-05,0.952858652531691
"33","XM_022472237.1",""," IgGFc-binding protein-like","crg:105345021","blue",2.23915850607215e-05,0.951736243118682
"34","XM_022471530.1","GO:0003674;GO:0005576;GO:0008150"," uncharacterized","crg:105327928","blue",2.26642458451007e-05,0.951587788322922
