"","geneSymbol","TranscriptID","moduleColor","KEGG_ID","Protein_name","gene_length","GO.terms","GS.HHH","p.GS.HHH","MM.yellow","p.MM.yellow","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.pink","p.MM.pink","MM.turquoise","p.MM.turquoise","MM.green","p.MM.green","MM.red","p.MM.red"
"XM_022458163.1","LOC111118611","XM_022458163.1","black","crg:105336649"," cytochrome b-c1 complex subunit 6, mitochondrial-like",96,"GO:0005622;GO:0006091;GO:0016491;GO:0032991;GO:0055085",0.634199927883864,0.00152570345415353,-0.140647631617368,0.532428120947502,0.224999795407221,0.314066913347681,0.551925733540246,0.00774222603597379,-0.17037191179465,0.448428701951632,0.0135037616570491,0.952439561110652,-0.123748698144372,0.583233219906,-0.224540018539799,0.315083026117335,0.00847614252230266,0.970137010300623
"XM_022463531.1","LOC111122014","XM_022463531.1","black","crg:105322191"," uncharacterized",114,"",-0.499142081374731,0.0180347301193566,-0.596146252946712,0.00341097566682723,-0.23001663868527,0.303109133734633,0.610450390891856,0.00255067642432518,-0.429508247295662,0.0460546994024875,-0.110360881200069,0.624897745066843,0.229215434257244,0.304843188149672,-0.0823089231029415,0.715748523701089,-0.137069492012964,0.543010456104583
"XM_022462052.1","LOC111120976","XM_022462052.1","black","crg:105332191"," 40S ribosomal protein S2",281,"GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254",0.466309381625749,0.0287039749208344,-0.320482732032887,0.145909717934661,0.250834236855312,0.260182566330856,0.489274733355794,0.0208327390194445,-0.219008872936987,0.327462740957966,0.458224554131231,0.0319783656425972,-0.171222838490023,0.446131483316635,-0.626835518444586,0.0017971716583268,-0.104635194924561,0.643070329887806
"XM_022479919.1","LOC111132165","XM_022479919.1","black","crg:105333590"," serine protease inhibitor dipetalogastin-like",104,"GO:0003674",-0.465915445945333,0.0288570864941814,-0.409464700222893,0.0584392179771161,0.0727403803948908,0.747684867076564,0.212955797473148,0.341339243786685,-0.140632329878979,0.532473169725972,-0.293320513655683,0.185220326198466,0.0308930741621212,0.891445612757457,-0.020565954449042,0.927618655285024,-0.0906826079893655,0.688169909623622
"XM_022489877.1","LOC111138075","XM_022489877.1","black","crg:105343138"," uncharacterized",321,"",-0.459425917085614,0.031473969157519,-0.364234062186427,0.0956139389432082,-0.407744051209852,0.0596106787161288,0.629380334512939,0.00169908298051605,-0.582710280166362,0.00442873360812717,0.252748976049532,0.256440341584443,0.495019493008707,0.019164320632403,-0.182390742980894,0.416562081039338,-0.0273893083010147,0.903698518462736
"XM_022487520.1","LOC111136574","XM_022487520.1","black","crg:105344977"," coactosin-like protein",140,"GO:0005622;GO:0008092",0.438643752532199,0.0411362904435474,-0.130559479837693,0.56250785777353,0.0161304832161817,0.943201470768156,0.423592456857541,0.0494754280619644,-0.287620175454412,0.19430693781506,0.39243964109114,0.0708361068735883,-0.0352511121601948,0.87623887405893,-0.53827419535763,0.00975855182935309,0.226272633710769,0.311264311771913
"XM_022478162.1","LOC111130892","XM_022478162.1","black","crg:105325732"," B9 domain-containing protein 2-like",175,"",-0.436574465993411,0.0422126711906193,-0.000134159840413991,0.999527228657968,-0.441643874750226,0.0396139246220881,0.549817339412654,0.00802898069646524,-0.754461813505207,4.97817084260278e-05,0.637239490626609,0.00142426781967727,0.725360110541537,0.000133509494992723,-0.369382068991204,0.0906723257770116,0.129397453683182,0.566020595577361
"XM_022438219.1","LOC111104330","XM_022438219.1","black","crg:105339630"," histone-binding protein RBBP4",435,"GO:0003674",0.42963903794064,0.0459812039640603,-0.0934477837339227,0.67914426394488,-0.0441240182202101,0.845413517987204,0.501638045249464,0.0173773812667211,-0.399838131916811,0.0652255652687221,0.275137843092215,0.215245295418046,0.0256887171023867,0.909653408156299,-0.316195341254141,0.151685181982611,0.0566093642293075,0.802415116642955
"XM_022448233.1",NA,NA,"black",NA,NA,NA,NA,-0.428662757785081,0.0465320100983168,-0.407344928603909,0.059884959866114,-0.12941149309094,0.565978097348102,0.263879398463539,0.235372109862204,-0.0229135335212644,0.919381080862516,-0.301757317063039,0.172310969195304,0.15008617010761,0.50498503060324,-0.0259126127348032,0.908869127534265,-0.0212831384480555,0.925101283655217
"XR_002639087.1",NA,NA,"black",NA,NA,NA,NA,0.414409902701746,0.0551704365118025,-0.272153073151388,0.220465833775203,0.320461295413163,0.145938202780801,0.436387165593641,0.0423111729982156,-0.131111976262234,0.560841107571663,-0.191548125313203,0.393135669995426,-0.213147019704927,0.340895638071756,-0.258512237990887,0.245385513991527,-0.177525434517926,0.429310578168718
"XM_022487967.1","LOC111136840","XM_022487967.1","black","crg:105346569"," glutathione S-transferase 1-like",205,"GO:0003674",-0.402975861855299,0.0629509110915704,-0.03899164605181,0.863220164365949,-0.480960454931333,0.0234520603976347,0.44334981623902,0.0387681473924408,-0.507344119899142,0.0159471726423169,0.618292760201755,0.00216225007222961,0.62404464150362,0.00191021328606951,-0.293888703105029,0.184330783990884,0.246604798845544,0.268571653264844
"XM_022465241.1","LOC111123124","XM_022465241.1","black","crg:105348226"," ATP synthase subunit g, mitochondrial-like",147,"GO:0005739;GO:0009058;GO:0022857;GO:0032991;GO:0034641;GO:0044281",0.399208376020146,0.0656895332416791,-0.210900081171189,0.34612969049278,0.30903296263394,0.16168837162457,0.525765144359278,0.011966852674532,-0.241585311560573,0.278747600908571,0.213280866918534,0.340585336199082,-0.180513774246477,0.421455662860446,-0.533178122898261,0.0106138562872966,0.216282734693901,0.333669937884343
