"","geneSymbol","TranscriptID","GO.terms","Protein_name","KEGG_ID","moduleColor","MM.p","MM.cor"
"1","LOC111118348","XM_022457754.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S15Aa","crg:105331157","black",3.28250943647869e-11,0.945578214687649
"2","LOC111111438","XM_022448430.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L27","crg:105347733","black",3.10268320218389e-09,0.913047181181842
"3","LOC111122600","XM_022464403.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," ubiquitin-60S ribosomal protein L40","crg:105348876","black",3.70408871242543e-09,0.911432163590973
"4","LOC111122819","XM_022464806.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L21-like","crg:105323549","black",5.19749836721416e-09,0.908256816122791
"5","LOC111126040","XM_022470420.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L28-like","crg:105332917","black",5.23031581116051e-09,0.908196704118816
"6","LOC111129410","XM_022475787.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L11-like","crg:105338035","black",5.36827734756753e-09,0.907947621005413
"7","LOC111103150","XM_022436199.1",""," 60S ribosomal protein L24-like","crg:105342603","black",8.9341296822372e-09,0.902929944378613
"8","LOC111123867","XM_022466508.1",""," 40S ribosomal protein S25-like","crg:105339104","black",1.11923629300101e-08,0.900619669109496
"9","LOC111101507","XM_022434060.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L32-like","crg:105346165","black",1.32160353096496e-08,0.898879014502942
"10","LOC111134057","XM_022482846.1",""," uncharacterized","crg:105339160","black",4.74125092413896e-08,0.884383679507932
"11","LOC111136230","XM_022486934.1","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L14-like","crg:105332844","black",5.05038791577221e-08,0.883612488517904
"12","LOC111127437","XM_022472613.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L35-like","crg:105338614","black",9.10859309915196e-08,0.876144107557366
"13","LOC111125533","XM_022469451.1",""," U6 snRNA-associated Sm-like protein LSm5","crg:105347083","black",1.1519064825308e-07,0.873031150277371
"14","LOC111131662","XM_022479294.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," ubiquitin-like protein FUBI","crg:105327279","black",1.15723441837582e-07,0.872969140414125
"15","LOC111124261","XM_022467115.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," uncharacterized","crg:105321548","black",1.73429682500955e-07,0.867405636345145
"16","LOC111135849","XM_022486262.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L13-like","crg:105337746","black",1.87014084978905e-07,0.866340239377839
"17","LOC111106468","XM_022441163.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S23","crg:105348430","black",2.36889766917062e-07,0.862940748652715
"18","LOC111128580","XM_022474258.1","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S15-like","crg:105332215","black",2.71538922732217e-07,0.860935873133319
"19","LOC111119059","XM_022458870.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L34-like","crg:105319282","black",3.17956450262032e-07,0.858579079536138
"20","LOC111126109","XM_022470515.1","GO:0009058;GO:0016301;GO:0034641;GO:0044281"," nucleoside diphosphate kinase A-like","crg:105343795","black",3.79016470440726e-07,0.85590526368742
"21","LOC111137772","XM_022489416.1","GO:0005739;GO:0009058;GO:0022857;GO:0032991;GO:0034641;GO:0044281"," uncharacterized","crg:105325168","black",3.86830651206338e-07,0.855591149717635
"22","LOC111118510","XM_022458026.1","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S20","crg:105340582","black",4.69420760931542e-07,0.852575820874062
