"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317978","crg04144","Endocytosis","105321025/105347007/105318650/105343449/105333773/105333224/105321105/105343266/105318284/105320043/105337934/105340300/105321295/105334890/105320076/105347620/105317978/105323313",18,"105317978","endophilin-B1 isoform X1"
"2","crg:105317978","crg04140","Autophagy - animal","105331792/105331753/105347687/105321629/105342014/105337064/105346575/105341231/105324844/105333888/105347620/105317978/105339057/105338680",14,"105317978","endophilin-B1 isoform X1"
"3","crg:105318284","crg04144","Endocytosis","105321025/105347007/105318650/105343449/105333773/105333224/105321105/105343266/105318284/105320043/105337934/105340300/105321295/105334890/105320076/105347620/105317978/105323313",18,"105318284","ADP-ribosylation factor GTPase-activating protein 1 isoform X1"
"4","crg:105318650","crg04144","Endocytosis","105321025/105347007/105318650/105343449/105333773/105333224/105321105/105343266/105318284/105320043/105337934/105340300/105321295/105334890/105320076/105347620/105317978/105323313",18,"105318650","vacuolar protein sorting-associated protein 29"
"5","crg:105320043","crg04144","Endocytosis","105321025/105347007/105318650/105343449/105333773/105333224/105321105/105343266/105318284/105320043/105337934/105340300/105321295/105334890/105320076/105347620/105317978/105323313",18,"105320043","charged multivesicular body protein 6-A"
"6","crg:105320076","crg04144","Endocytosis","105321025/105347007/105318650/105343449/105333773/105333224/105321105/105343266/105318284/105320043/105337934/105340300/105321295/105334890/105320076/105347620/105317978/105323313",18,"105320076","charged multivesicular body protein 2a"
"7","crg:105321025","crg04144","Endocytosis","105321025/105347007/105318650/105343449/105333773/105333224/105321105/105343266/105318284/105320043/105337934/105340300/105321295/105334890/105320076/105347620/105317978/105323313",18,"105321025","charged multivesicular body protein 5-like"
"8","crg:105321105","crg04150","mTOR signaling pathway","105331792/105347687/105321629/105337729/105334062/105342014/105321105/105332649/105335066/105346575/105325013/105324844",12,"105321105","ras-like GTP-binding protein Rho1"
"9","crg:105321105","crg04144","Endocytosis","105321025/105347007/105318650/105343449/105333773/105333224/105321105/105343266/105318284/105320043/105337934/105340300/105321295/105334890/105320076/105347620/105317978/105323313",18,"105321105","ras-like GTP-binding protein Rho1"
"10","crg:105321295","crg04144","Endocytosis","105321025/105347007/105318650/105343449/105333773/105333224/105321105/105343266/105318284/105320043/105337934/105340300/105321295/105334890/105320076/105347620/105317978/105323313",18,"105321295","vacuolar protein sorting-associated protein 26B-like isoform X1"
"11","crg:105321629","crg04150","mTOR signaling pathway","105331792/105347687/105321629/105337729/105334062/105342014/105321105/105332649/105335066/105346575/105325013/105324844",12,"105321629","phosphatidylinositol 3-kinase regulatory subunit alpha isoform X1"
"12","crg:105321629","crg04140","Autophagy - animal","105331792/105331753/105347687/105321629/105342014/105337064/105346575/105341231/105324844/105333888/105347620/105317978/105339057/105338680",14,"105321629","phosphatidylinositol 3-kinase regulatory subunit alpha isoform X1"
"13","crg:105323313","crg04144","Endocytosis","105321025/105347007/105318650/105343449/105333773/105333224/105321105/105343266/105318284/105320043/105337934/105340300/105321295/105334890/105320076/105347620/105317978/105323313",18,"105323313","ADP-ribosylation factor"
"14","crg:105324844","crg04150","mTOR signaling pathway","105331792/105347687/105321629/105337729/105334062/105342014/105321105/105332649/105335066/105346575/105325013/105324844",12,"105324844","ribosomal protein S6 kinase beta-1"
"15","crg:105324844","crg04140","Autophagy - animal","105331792/105331753/105347687/105321629/105342014/105337064/105346575/105341231/105324844/105333888/105347620/105317978/105339057/105338680",14,"105324844","ribosomal protein S6 kinase beta-1"
"16","crg:105325013","crg04150","mTOR signaling pathway","105331792/105347687/105321629/105337729/105334062/105342014/105321105/105332649/105335066/105346575/105325013/105324844",12,"105325013","frizzled-7-A"
"17","crg:105331753","crg04140","Autophagy - animal","105331792/105331753/105347687/105321629/105342014/105337064/105346575/105341231/105324844/105333888/105347620/105317978/105339057/105338680",14,"105331753","cathepsin L1"
"18","crg:105331792","crg04140","Autophagy - animal","105331792/105331753/105347687/105321629/105342014/105337064/105346575/105341231/105324844/105333888/105347620/105317978/105339057/105338680",14,"105331792","3-phosphoinositide-dependent protein kinase 1"
"19","crg:105331792","crg04150","mTOR signaling pathway","105331792/105347687/105321629/105337729/105334062/105342014/105321105/105332649/105335066/105346575/105325013/105324844",12,"105331792","3-phosphoinositide-dependent protein kinase 1"
"20","crg:105332649","crg04150","mTOR signaling pathway","105331792/105347687/105321629/105337729/105334062/105342014/105321105/105332649/105335066/105346575/105325013/105324844",12,"105332649","CAP-Gly domain-containing linker protein 1 isoform X3"
"21","crg:105333224","crg04144","Endocytosis","105321025/105347007/105318650/105343449/105333773/105333224/105321105/105343266/105318284/105320043/105337934/105340300/105321295/105334890/105320076/105347620/105317978/105323313",18,"105333224","AP-2 complex subunit alpha-2 isoform X1"
