"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317316","crg03010","Ribosome","105332191/105348430/105318421/105338604/105333956/105321548/105340032/105317316/105325785/105344646/105337746/105332844/105332215/105332015/105327279/105335873/105348494/105335803/105321315/105317506/105320864/105343260/105347733/105344628/105318789/105333469/105336480/105324627/105333577/105348656/105319797/105348141/105347800/105338035/105340582/105319282/105338614/105326463/105341326/105326418/105342603/105324073/105344033/105325638/105332495/105319573/105330605/105323475/105323603/105339104/105319617/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",60,"105317316","uncharacterized protein LOC105317316"
"2","crg:105317506","crg03010","Ribosome","105332191/105348430/105318421/105338604/105333956/105321548/105340032/105317316/105325785/105344646/105337746/105332844/105332215/105332015/105327279/105335873/105348494/105335803/105321315/105317506/105320864/105343260/105347733/105344628/105318789/105333469/105336480/105324627/105333577/105348656/105319797/105348141/105347800/105338035/105340582/105319282/105338614/105326463/105341326/105326418/105342603/105324073/105344033/105325638/105332495/105319573/105330605/105323475/105323603/105339104/105319617/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",60,"105317506","40S ribosomal protein S11"
"3","crg:105318076","crg00190","Oxidative phosphorylation","105336649/105347217/105341417/105342170/105344113/105333576/105331281/105340141/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105318076/105328413/105341238/105329407",20,"105318076","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8"
"4","crg:105318105","crg03050","Proteasome","105328897/105322792/105346718/105348466/105318105/105322442",6,"105318105","proteasome subunit beta type-6"
"5","crg:105318421","crg03010","Ribosome","105332191/105348430/105318421/105338604/105333956/105321548/105340032/105317316/105325785/105344646/105337746/105332844/105332215/105332015/105327279/105335873/105348494/105335803/105321315/105317506/105320864/105343260/105347733/105344628/105318789/105333469/105336480/105324627/105333577/105348656/105319797/105348141/105347800/105338035/105340582/105319282/105338614/105326463/105341326/105326418/105342603/105324073/105344033/105325638/105332495/105319573/105330605/105323475/105323603/105339104/105319617/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",60,"105318421","39S ribosomal protein L16, mitochondrial"
"6","crg:105318424","crg00190","Oxidative phosphorylation","105336649/105347217/105341417/105342170/105344113/105333576/105331281/105340141/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105318076/105328413/105341238/105329407",20,"105318424","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"
"7","crg:105318789","crg03010","Ribosome","105332191/105348430/105318421/105338604/105333956/105321548/105340032/105317316/105325785/105344646/105337746/105332844/105332215/105332015/105327279/105335873/105348494/105335803/105321315/105317506/105320864/105343260/105347733/105344628/105318789/105333469/105336480/105324627/105333577/105348656/105319797/105348141/105347800/105338035/105340582/105319282/105338614/105326463/105341326/105326418/105342603/105324073/105344033/105325638/105332495/105319573/105330605/105323475/105323603/105339104/105319617/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",60,"105318789","40S ribosomal protein S26"
"8","crg:105319282","crg03010","Ribosome","105332191/105348430/105318421/105338604/105333956/105321548/105340032/105317316/105325785/105344646/105337746/105332844/105332215/105332015/105327279/105335873/105348494/105335803/105321315/105317506/105320864/105343260/105347733/105344628/105318789/105333469/105336480/105324627/105333577/105348656/105319797/105348141/105347800/105338035/105340582/105319282/105338614/105326463/105341326/105326418/105342603/105324073/105344033/105325638/105332495/105319573/105330605/105323475/105323603/105339104/105319617/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",60,"105319282","60S ribosomal protein L34"
"9","crg:105319312","crg00190","Oxidative phosphorylation","105336649/105347217/105341417/105342170/105344113/105333576/105331281/105340141/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105318076/105328413/105341238/105329407",20,"105319312","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"
"10","crg:105319573","crg03010","Ribosome","105332191/105348430/105318421/105338604/105333956/105321548/105340032/105317316/105325785/105344646/105337746/105332844/105332215/105332015/105327279/105335873/105348494/105335803/105321315/105317506/105320864/105343260/105347733/105344628/105318789/105333469/105336480/105324627/105333577/105348656/105319797/105348141/105347800/105338035/105340582/105319282/105338614/105326463/105341326/105326418/105342603/105324073/105344033/105325638/105332495/105319573/105330605/105323475/105323603/105339104/105319617/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",60,"105319573","60S ribosomal protein L37a"
