"Day","moduleColor","GO_term","GO_ID","ontology","pvalue","Gene_count","Gene_ratio","Transcript_ID","geneSymbol","Protein_name"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022443630.1","LOC111108088"," 28S ribosomal protein S14, mitochondrial-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022478229.1","LOC111130939"," 28S ribosomal protein S16, mitochondrial-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022462721.1","LOC111121432"," 28S ribosomal protein S7, mitochondrial-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022477994.1","LOC111130763"," 39S ribosomal protein L11, mitochondrial-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022489278.1","LOC111137692"," 39S ribosomal protein L12, mitochondrial-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022474388.1","LOC111128646"," 39S ribosomal protein L14, mitochondrial-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022483859.1","LOC111134635"," 39S ribosomal protein L16, mitochondrial-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022489090.1","LOC111137581"," 39S ribosomal protein L18, mitochondrial-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022481325.1","LOC111133190"," 39S ribosomal protein L23, mitochondrial-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022452387.1","LOC111114067"," 40S ribosomal protein S11-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022457605.1","LOC111118248"," 40S ribosomal protein S12-like"
"Day2","black","translation","GO:0006412","BP",2.40081862133008e-109,89,0.322463768115942,"XM_022432795.1","LOC111100708"," 40S ribosomal protein S13-like"
