"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105318065","crg04142","Lysosome","105340688/105321566/105340686/105333177/105331753/105320698/105320763/105330701/105328916/105340323/105346653/105342463/105346019/105318616/105332776/105332781/105344281/105318065",18,"105318065","cation-dependent mannose-6-phosphate receptor"
"2","crg:105318128","crg03010","Ribosome","105332191/105318421/105318712/105347828/105329912/105324897/105331823/105342397/105325785/105320386/105323167/105319364/105318128/105335782",14,"105318128","30S ribosomal protein S12"
"3","crg:105318344","crg04144","Endocytosis","105325532/105336965/105348304/105348305/105334510/105334234/105334311/105318344/105342463/105325264/105324517/105331012/105333651",13,"105318344","midasin"
"4","crg:105318401","crg00190","Oxidative phosphorylation","105321566/105336649/105332292/105346116/105324755/105347217/105347858/105341417/105332217/105319097/105342170/105331743/105332143/105333576/105322557/105345750/105318401/105343349/105345448/105318424",20,"105318401","cytochrome c oxidase subunit 5B, mitochondrial"
"5","crg:105318421","crg03010","Ribosome","105332191/105318421/105318712/105347828/105329912/105324897/105331823/105342397/105325785/105320386/105323167/105319364/105318128/105335782",14,"105318421","39S ribosomal protein L16, mitochondrial"
"6","crg:105318424","crg00190","Oxidative phosphorylation","105321566/105336649/105332292/105346116/105324755/105347217/105347858/105341417/105332217/105319097/105342170/105331743/105332143/105333576/105322557/105345750/105318401/105343349/105345448/105318424",20,"105318424","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"
"7","crg:105318616","crg04142","Lysosome","105340688/105321566/105340686/105333177/105331753/105320698/105320763/105330701/105328916/105340323/105346653/105342463/105346019/105318616/105332776/105332781/105344281/105318065",18,"105318616","AP-1 complex subunit mu-1"
"8","crg:105318712","crg03010","Ribosome","105332191/105318421/105318712/105347828/105329912/105324897/105331823/105342397/105325785/105320386/105323167/105319364/105318128/105335782",14,"105318712","39S ribosomal protein L10, mitochondrial isoform X1"
"9","crg:105319097","crg00190","Oxidative phosphorylation","105321566/105336649/105332292/105346116/105324755/105347217/105347858/105341417/105332217/105319097/105342170/105331743/105332143/105333576/105322557/105345750/105318401/105343349/105345448/105318424",20,"105319097","ATP synthase subunit beta, mitochondrial"
"10","crg:105319364","crg03010","Ribosome","105332191/105318421/105318712/105347828/105329912/105324897/105331823/105342397/105325785/105320386/105323167/105319364/105318128/105335782",14,"105319364","60S acidic ribosomal protein P0"
"11","crg:105320117","crg03040","Spliceosome","105343163/105330935/105341528/105348304/105348305/105334510/105334234/105347056/105327851/105333818/105335725/105320117/105348805",13,"105320117","serine/arginine-rich splicing factor 6 isoform X1"
"12","crg:105320386","crg03010","Ribosome","105332191/105318421/105318712/105347828/105329912/105324897/105331823/105342397/105325785/105320386/105323167/105319364/105318128/105335782",14,"105320386","39S ribosomal protein L14, mitochondrial"
"13","crg:105320698","crg04142","Lysosome","105340688/105321566/105340686/105333177/105331753/105320698/105320763/105330701/105328916/105340323/105346653/105342463/105346019/105318616/105332776/105332781/105344281/105318065",18,"105320698","ganglioside GM2 activator isoform X1"
"14","crg:105320763","crg04142","Lysosome","105340688/105321566/105340686/105333177/105331753/105320698/105320763/105330701/105328916/105340323/105346653/105342463/105346019/105318616/105332776/105332781/105344281/105318065",18,"105320763","probable serine/threonine-protein kinase mkcB"
"15","crg:105321566","crg00190","Oxidative phosphorylation","105321566/105336649/105332292/105346116/105324755/105347217/105347858/105341417/105332217/105319097/105342170/105331743/105332143/105333576/105322557/105345750/105318401/105343349/105345448/105318424",20,"105321566","V-type proton ATPase 16 kDa proteolipid subunit"
"16","crg:105321566","crg04142","Lysosome","105340688/105321566/105340686/105333177/105331753/105320698/105320763/105330701/105328916/105340323/105346653/105342463/105346019/105318616/105332776/105332781/105344281/105318065",18,"105321566","V-type proton ATPase 16 kDa proteolipid subunit"
"17","crg:105322557","crg00190","Oxidative phosphorylation","105321566/105336649/105332292/105346116/105324755/105347217/105347858/105341417/105332217/105319097/105342170/105331743/105332143/105333576/105322557/105345750/105318401/105343349/105345448/105318424",20,"105322557","putative ATP synthase subunit f, mitochondrial"
"18","crg:105323167","crg03010","Ribosome","105332191/105318421/105318712/105347828/105329912/105324897/105331823/105342397/105325785/105320386/105323167/105319364/105318128/105335782",14,"105323167","40S ribosomal protein S27-like"
"19","crg:105324517","crg04144","Endocytosis","105325532/105336965/105348304/105348305/105334510/105334234/105334311/105318344/105342463/105325264/105324517/105331012/105333651",13,"105324517","G protein-coupled receptor kinase 5 isoform X1"
"20","crg:105324755","crg00190","Oxidative phosphorylation","105321566/105336649/105332292/105346116/105324755/105347217/105347858/105341417/105332217/105319097/105342170/105331743/105332143/105333576/105322557/105345750/105318401/105343349/105345448/105318424",20,"105324755","ATP synthase F(0) complex subunit B1, mitochondrial"
"21","crg:105324897","crg03010","Ribosome","105332191/105318421/105318712/105347828/105329912/105324897/105331823/105342397/105325785/105320386/105323167/105319364/105318128/105335782",14,"105324897","60S acidic ribosomal protein P2"
"22","crg:105325264","crg04144","Endocytosis","105325532/105336965/105348304/105348305/105334510/105334234/105334311/105318344/105342463/105325264/105324517/105331012/105333651",13,"105325264","IST1 homolog"
"23","crg:105325532","crg04144","Endocytosis","105325532/105336965/105348304/105348305/105334510/105334234/105334311/105318344/105342463/105325264/105324517/105331012/105333651",13,"105325532","caveolin-1 isoform X1"
"24","crg:105325785","crg03010","Ribosome","105332191/105318421/105318712/105347828/105329912/105324897/105331823/105342397/105325785/105320386/105323167/105319364/105318128/105335782",14,"105325785","28S ribosomal protein S7, mitochondrial"
"25","crg:105327851","crg03040","Spliceosome","105343163/105330935/105341528/105348304/105348305/105334510/105334234/105347056/105327851/105333818/105335725/105320117/105348805",13,"105327851","serine/arginine-rich splicing factor 1A"
"26","crg:105328916","crg04142","Lysosome","105340688/105321566/105340686/105333177/105331753/105320698/105320763/105330701/105328916/105340323/105346653/105342463/105346019/105318616/105332776/105332781/105344281/105318065",18,"105328916","cathepsin B isoform X2"
"27","crg:105329912","crg03010","Ribosome","105332191/105318421/105318712/105347828/105329912/105324897/105331823/105342397/105325785/105320386/105323167/105319364/105318128/105335782",14,"105329912","60S acidic ribosomal protein P1"
"28","crg:105330701","crg04142","Lysosome","105340688/105321566/105340686/105333177/105331753/105320698/105320763/105330701/105328916/105340323/105346653/105342463/105346019/105318616/105332776/105332781/105344281/105318065",18,"105330701","cathepsin L1"
"29","crg:105330935","crg03040","Spliceosome","105343163/105330935/105341528/105348304/105348305/105334510/105334234/105347056/105327851/105333818/105335725/105320117/105348805",13,"105330935","U1 small nuclear ribonucleoprotein C isoform X1"
"30","crg:105331012","crg04144","Endocytosis","105325532/105336965/105348304/105348305/105334510/105334234/105334311/105318344/105342463/105325264/105324517/105331012/105333651",13,"105331012","Arpc3; actin-related protein 2/3 complex subunit 3"
"31","crg:105331743","crg00190","Oxidative phosphorylation","105321566/105336649/105332292/105346116/105324755/105347217/105347858/105341417/105332217/105319097/105342170/105331743/105332143/105333576/105322557/105345750/105318401/105343349/105345448/105318424",20,"105331743","ATP synthase subunit d, mitochondrial"
"32","crg:105331753","crg04142","Lysosome","105340688/105321566/105340686/105333177/105331753/105320698/105320763/105330701/105328916/105340323/105346653/105342463/105346019/105318616/105332776/105332781/105344281/105318065",18,"105331753","cathepsin L1"
"33","crg:105331823","crg03010","Ribosome","105332191/105318421/105318712/105347828/105329912/105324897/105331823/105342397/105325785/105320386/105323167/105319364/105318128/105335782",14,"105331823","40S ribosomal protein S24 isoform X1"
"34","crg:105332143","crg00190","Oxidative phosphorylation","105321566/105336649/105332292/105346116/105324755/105347217/105347858/105341417/105332217/105319097/105342170/105331743/105332143/105333576/105322557/105345750/105318401/105343349/105345448/105318424",20,"105332143","succinate dehydrogenase cytochrome b560 subunit, mitochondrial isoform X1"
