"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317679","crg00410","beta-Alanine metabolism","105324334/105317679/105346080/105332278/105335508",5,"105317679","carnosine synthase 1 isoform X1"
"2","crg:105319209","crg03040","Spliceosome","105325235/105326999/105328352/105319209/105331507/105320117/105334692/105348805",8,"105319209","spliceosome RNA helicase DDX39B"
"3","crg:105320117","crg03040","Spliceosome","105325235/105326999/105328352/105319209/105331507/105320117/105334692/105348805",8,"105320117","serine/arginine-rich splicing factor 6 isoform X1"
"4","crg:105324334","crg00410","beta-Alanine metabolism","105324334/105317679/105346080/105332278/105335508",5,"105324334","carnosine synthase 1"
"5","crg:105325235","crg03040","Spliceosome","105325235/105326999/105328352/105319209/105331507/105320117/105334692/105348805",8,"105325235","zinc finger matrin-type protein 2"
"6","crg:105326999","crg03040","Spliceosome","105325235/105326999/105328352/105319209/105331507/105320117/105334692/105348805",8,"105326999","serine/arginine-rich splicing factor 6 isoform X3"
"7","crg:105328352","crg03040","Spliceosome","105325235/105326999/105328352/105319209/105331507/105320117/105334692/105348805",8,"105328352","serine/arginine-rich splicing factor 7"
"8","crg:105331507","crg03040","Spliceosome","105325235/105326999/105328352/105319209/105331507/105320117/105334692/105348805",8,"105331507","protein BUD31 homolog"
"9","crg:105332278","crg00410","beta-Alanine metabolism","105324334/105317679/105346080/105332278/105335508",5,"105332278","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial-like isoform X1"
"10","crg:105334692","crg03040","Spliceosome","105325235/105326999/105328352/105319209/105331507/105320117/105334692/105348805",8,"105334692","pleiotropic regulator 1"
"11","crg:105335508","crg00410","beta-Alanine metabolism","105324334/105317679/105346080/105332278/105335508",5,"105335508","LOW QUALITY PROTEIN: 4-aminobutyrate aminotransferase, mitochondrial"
"12","crg:105346080","crg00410","beta-Alanine metabolism","105324334/105317679/105346080/105332278/105335508",5,"105346080","carnosine synthase 1"
"13","crg:105348805","crg03040","Spliceosome","105325235/105326999/105328352/105319209/105331507/105320117/105334692/105348805",8,"105348805","NHP2-like protein 1"
