"","Cgigas_KEGGID","time_point","module","KEGGID_pathway","Log_pvalue_adj","Rich_factor","Description","Cvirginica_GeneID","Cvirginica_Protein_name"
"1","crg:105320076","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111104852"," charged multivesicular body protein 2a-like"
"2","crg:105320076","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111102907"," charged multivesicular body protein 2a-like"
"3","crg:105321025","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111120783"," charged multivesicular body protein 5-like"
"4","crg:105321861","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111136878"," charged multivesicular body protein 1a-like"
"5","crg:105321861","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111130368"," charged multivesicular body protein 1a-like"
"6","crg:105323904","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111138197"," charged multivesicular body protein 4b-like"
"7","crg:105325264","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111105529"," IST1 homolog"
"8","crg:105327336","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111125144"," ras-related protein Rab-5B-like"
"9","crg:105327336","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111099150"," ras-related protein Rab-24-like"
"10","crg:105327336","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111137647"," ras-related protein Rab-24-like"
"11","crg:105330715","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111103630"," charged multivesicular body protein 1b-like"
"12","crg:105330715","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111103354"," charged multivesicular body protein 1b-like"
"13","crg:105331606","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111135863"," hemocyte protein-glutamine gamma-glutamyltransferase-like"
"14","crg:105342463","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111115748"," clathrin light chain B-like"
"15","crg:105342463","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111135567"," clathrin light chain B-like"
"16","crg:105343266","Day 22 spat","red","crg04144",1.53,0.058,"Endocytosis","LOC111131029"," EH domain-containing protein 3-like"
"17","crg:105332278","Day 22 spat","red","crg00410",1.35,0.053,"beta-Alanine metabolism","LOC111116870"," 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial-like"
"18","crg:105332278","Day 22 spat","red","crg00410",1.35,0.053,"beta-Alanine metabolism","LOC111118132"," 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial-like"
"19","crg:105323904","Day 22 spat","red","crg03250",1.35,0.035,"Viral life cycle - HIV-1","LOC111138197"," charged multivesicular body protein 4b-like"
"20","crg:105331606","Day 22 spat","red","crg03250",1.35,0.035,"Viral life cycle - HIV-1","LOC111135863"," hemocyte protein-glutamine gamma-glutamyltransferase-like"
"21","crg:105320064","Day 22 spat","salmon","crg00062",1.53,0.097,"Fatty acid elongation","LOC111127947"," 3-ketoacyl-CoA thiolase, mitochondrial-like"
"22","crg:105326706","Day 22 spat","salmon","crg00062",1.53,0.097,"Fatty acid elongation","LOC111118456"," probable very-long-chain enoyl-CoA reductase art-1"
"23","crg:105342065","Day 22 spat","salmon","crg00062",1.53,0.097,"Fatty acid elongation","LOC111118429"," trifunctional enzyme subunit beta, mitochondrial-like"
"24","crg:105325178","Day 22 spat","salmon","crg04141",2.26,0.065,"Protein processing in endoplasmic reticulum","LOC111099982"," S-phase kinase-associated protein 1"
"25","crg:105337540","Day 22 spat","salmon","crg04141",2.26,0.065,"Protein processing in endoplasmic reticulum","LOC111103552"," dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2-like"
"26","crg:105339057","Day 22 spat","salmon","crg04141",2.26,0.065,"Protein processing in endoplasmic reticulum","LOC111118049"," eukaryotic translation initiation factor 2 subunit 1-like"
"27","crg:105340372","Day 22 spat","salmon","crg04141",2.26,0.065,"Protein processing in endoplasmic reticulum","LOC111126736"," oligosaccharyltransferase complex subunit OSTC-like"
