"","TranscriptID","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","GeneID","Protein_name"
"1","XM_022437269.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111103794"," pre-mRNA-splicing regulator WTAP-like"
"2","XM_022441654.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111106827"," U6 snRNA-associated Sm-like protein LSm3"
"3","XM_022444348.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111108450"," small nuclear ribonucleoprotein F"
"4","XM_022444348.1","protein-containing complex assembly",6.95114719079234e-06,"GO:0022618","ribonucleoprotein complex assembly","BP","purple","LOC111108450"," small nuclear ribonucleoprotein F"
"5","XM_022445844.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111109639"," small nuclear ribonucleoprotein F"
"6","XM_022445844.1","protein-containing complex assembly",6.95114719079234e-06,"GO:0022618","ribonucleoprotein complex assembly","BP","purple","LOC111109639"," small nuclear ribonucleoprotein F"
"7","XM_022446834.1","intracellular protein transport",1.53211164823456e-06,"GO:0006605","protein targeting","BP","purple","LOC111110359"," mitochondrial-processing peptidase subunit beta-like"
"8","XM_022453791.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111115153"," pre-mRNA-processing factor 40 homolog A-like"
"9","XM_022457773.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111118367"," polypyrimidine tract-binding protein 1-like"
"10","XM_022458053.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111118539"," splicing factor U2AF 50 kDa subunit-like"
"11","XM_022458344.1","protein-containing complex assembly",6.95114719079234e-06,"GO:0022618","ribonucleoprotein complex assembly","BP","purple","LOC111118738"," ras GTPase-activating protein-binding protein 2-like"
"12","XM_022458726.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111118990"," polypyrimidine tract-binding protein 1-like"
"13","XM_022458865.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111119055"," U6 snRNA-associated Sm-like protein LSm4"
"14","XM_022461280.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111120515"," serrate RNA effector molecule homolog"
"15","XM_022461312.1","protein-containing complex assembly",6.95114719079234e-06,"GO:0022618","ribonucleoprotein complex assembly","BP","purple","LOC111120525"," ras GTPase-activating protein-binding protein 2-like"
"16","XM_022461883.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111120873"," splicing factor 1-like"
"17","XM_022463165.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111121745"," putative RNA-binding protein Luc7-like 1"
"18","XM_022463165.1","protein-containing complex assembly",6.95114719079234e-06,"GO:0022618","ribonucleoprotein complex assembly","BP","purple","LOC111121745"," putative RNA-binding protein Luc7-like 1"
"19","XM_022463499.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111121987"," probable splicing factor 3B subunit 5"
"20","XM_022463654.1","intracellular protein transport",1.53211164823456e-06,"GO:0006605","protein targeting","BP","purple","LOC111122095"," signal recognition particle subunit SRP68-like"
"21","XM_022463712.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111122128"," U4/U6.U5 tri-snRNP-associated protein 2-like"
"22","XM_022463712.1","protein-containing complex assembly",6.95114719079234e-06,"GO:0022618","ribonucleoprotein complex assembly","BP","purple","LOC111122128"," U4/U6.U5 tri-snRNP-associated protein 2-like"
"23","XM_022464277.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111122502"," splicing factor U2AF 26 kDa subunit-like"
"24","XM_022465018.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111122970"," pre-mRNA 3'-end-processing factor FIP1-like"
"25","XM_022467522.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111124560"," THO complex subunit 2-like"
"26","XM_022470306.1","mRNA metabolic process",4.2555180309884e-13,"GO:0006397","mRNA processing","BP","purple","LOC111125980"," U1 small nuclear ribonucleoprotein C-like"
