"","TranscriptID","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","GeneID","Protein_name"
"1","XM_022430415.1","transferase activity",0.029340646888104,"GO:0008168","methyltransferase activity","MF","turquoise","LOC111099067"," pre-rRNA processing protein FTSJ3-like"
"2","XM_022430438.1","molecular function regulator",0.00259767622486401,"GO:0030234","enzyme regulator activity","MF","turquoise","LOC111099081"," grpE protein homolog 1, mitochondrial-like"
"3","XM_022430893.1","molecular function regulator",0.00259767622486401,"GO:0030234","enzyme regulator activity","MF","turquoise","LOC111099573"," 26S proteasome non-ATPase regulatory subunit 2-like"
"4","XM_022431972.1","transferase activity",0.029340646888104,"GO:0008168","methyltransferase activity","MF","turquoise","LOC111100279"," histone-lysine N-methyltransferase NSD2-like"
"5","XM_022432122.1","RNA binding",0.0262211366407101,"GO:0003729","mRNA binding","MF","turquoise","LOC111100355"," eukaryotic peptide chain release factor subunit 1"
"6","XM_022432122.1","RNA binding",1.93476461146594e-11,"GO:0008135","translation factor activity, RNA binding","MF","turquoise","LOC111100355"," eukaryotic peptide chain release factor subunit 1"
"7","XM_022432122.1","translation regulator activity",1.93476461146594e-11,"GO:0008135","translation factor activity, RNA binding","MF","turquoise","LOC111100355"," eukaryotic peptide chain release factor subunit 1"
"8","XM_022432669.1","translation regulator activity",1.93476461146594e-11,"GO:0008135","translation factor activity, RNA binding","MF","turquoise","LOC111100612"," eukaryotic translation initiation factor 4E type 2-like"
"9","XM_022432669.1","RNA binding",0.0262211366407101,"GO:0003729","mRNA binding","MF","turquoise","LOC111100612"," eukaryotic translation initiation factor 4E type 2-like"
"10","XM_022432669.1","RNA binding",1.93476461146594e-11,"GO:0008135","translation factor activity, RNA binding","MF","turquoise","LOC111100612"," eukaryotic translation initiation factor 4E type 2-like"
"11","XM_022433243.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111101027"," ras-related protein Rab6"
"12","XM_022433243.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111101027"," ras-related protein Rab6"
"13","XM_022433442.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111101124"," V-type proton ATPase subunit E-like"
"14","XM_022433442.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111101124"," V-type proton ATPase subunit E-like"
"15","XM_022437412.1","transferase activity",0.029340646888104,"GO:0008168","methyltransferase activity","MF","turquoise","LOC111103857"," uncharacterized methyltransferase-like C25B8.10"
"16","XM_022438323.1","molecular function regulator",0.00259767622486401,"GO:0030234","enzyme regulator activity","MF","turquoise","LOC111104400"," uncharacterized"
"17","XM_022440051.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111105692"," elongation factor Tu-like"
"18","XM_022440051.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111105692"," elongation factor Tu-like"
"19","XM_022440260.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111105834"," ruvB-like 1"
"20","XM_022440260.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111105834"," ruvB-like 1"
"21","XM_022440316.1","molecular function regulator",0.00259767622486401,"GO:0030234","enzyme regulator activity","MF","turquoise","LOC111105859"," protein HEXIM-like"
"22","XM_022441905.1","molecular function regulator",0.00259767622486401,"GO:0030234","enzyme regulator activity","MF","turquoise","LOC111106984"," NTR domain-containing protein-like"
"23","XM_022442259.1","molecular function regulator",0.00259767622486401,"GO:0030234","enzyme regulator activity","MF","turquoise","LOC111107202"," NTR domain-containing protein-like"
"24","XM_022443629.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111108086"," plasma membrane calcium-transporting ATPase 2-like"
"25","XM_022443629.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111108086"," plasma membrane calcium-transporting ATPase 2-like"
"26","XM_022443860.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111108193"," ATP synthase subunit gamma, mitochondrial-like"
"27","XM_022443860.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111108193"," ATP synthase subunit gamma, mitochondrial-like"
"28","XM_022445963.1","molecular function regulator",0.00259767622486401,"GO:0030234","enzyme regulator activity","MF","turquoise","LOC111109739"," tissue inhibitor of metalloproteinase-like"
"29","XM_022446105.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111109854"," ATP-binding cassette sub-family F member 1-like"
"30","XM_022446105.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111109854"," ATP-binding cassette sub-family F member 1-like"
"31","XM_022446113.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111109862"," ras-related protein rab7"
"32","XM_022446113.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111109862"," ras-related protein rab7"
"33","XM_022448523.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111111505"," 26S proteasome regulatory subunit 8"
"34","XM_022448523.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111111505"," 26S proteasome regulatory subunit 8"
"35","XM_022450908.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111112993"," tubulin alpha-1A chain"
"36","XM_022450908.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111112993"," tubulin alpha-1A chain"
"37","XM_022452921.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111114558"," rho-related GTP-binding protein RhoE-like"
"38","XM_022452921.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111114558"," rho-related GTP-binding protein RhoE-like"
"39","XM_022452973.1","hydrolase activity",3.28813876807595e-07,"GO:0016887","ATPase activity","MF","turquoise","LOC111114597"," ATP synthase subunit beta, mitochondrial"
"40","XM_022452973.1","hydrolase activity",0.0168067834227918,"GO:0003924","GTPase activity","MF","turquoise","LOC111114597"," ATP synthase subunit beta, mitochondrial"
"41","XM_022453248.1","structural molecule activity",8.76760900710618e-05,"GO:0003735","structural constituent of ribosome","MF","turquoise","LOC111114778"," 40S ribosomal protein S27-like"
