"","TranscriptID","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","GeneID","Protein_name"
"1","XM_022433242.1","catalytic activity",0.000388096145052158,"GO:0003924","GTPase activity","MF","red","LOC111101027"," ras-related protein Rab6"
"2","XM_022433242.1","catalytic activity",0.0493286156935477,"GO:0016491","oxidoreductase activity","MF","red","LOC111101027"," ras-related protein Rab6"
"3","XM_022433242.1","hydrolase activity",0.000388096145052158,"GO:0003924","GTPase activity","MF","red","LOC111101027"," ras-related protein Rab6"
"4","XM_022445998.1","catalytic activity",0.0493286156935477,"GO:0016491","oxidoreductase activity","MF","red","LOC111109768"," ras-related protein rab7"
"5","XM_022445998.1","hydrolase activity",0.000388096145052158,"GO:0003924","GTPase activity","MF","red","LOC111109768"," ras-related protein rab7"
"6","XM_022445998.1","catalytic activity",0.000388096145052158,"GO:0003924","GTPase activity","MF","red","LOC111109768"," ras-related protein rab7"
"7","XM_022449624.1","catalytic activity",0.000388096145052158,"GO:0003924","GTPase activity","MF","red","LOC111112216"," ras-related protein Ral-A-like"
"8","XM_022449624.1","catalytic activity",0.0493286156935477,"GO:0016491","oxidoreductase activity","MF","red","LOC111112216"," ras-related protein Ral-A-like"
"9","XM_022449624.1","hydrolase activity",0.000388096145052158,"GO:0003924","GTPase activity","MF","red","LOC111112216"," ras-related protein Ral-A-like"
"10","XM_022450524.1","catalytic activity",0.000388096145052158,"GO:0003924","GTPase activity","MF","red","LOC111112758"," alcohol dehydrogenase-like"
"11","XM_022450524.1","catalytic activity",0.0493286156935477,"GO:0016491","oxidoreductase activity","MF","red","LOC111112758"," alcohol dehydrogenase-like"
"12","XM_022457391.1","transcription regulator activity",0.00371452656573283,"GO:0003700","DNA-binding transcription factor activity","MF","red","LOC111118091"," interferon regulatory factor 1-like"
"13","XM_022460866.1","transcription regulator activity",0.00371452656573283,"GO:0003700","DNA-binding transcription factor activity","MF","red","LOC111120138"," transcription factor AP-1-like"
"14","XM_022463457.1","catalytic activity",0.0493286156935477,"GO:0016491","oxidoreductase activity","MF","red","LOC111121956"," cytochrome P450 3A29-like"
"15","XM_022463457.1","catalytic activity",0.000388096145052158,"GO:0003924","GTPase activity","MF","red","LOC111121956"," cytochrome P450 3A29-like"
