"","TranscriptID","fullID","Function","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A12.larva","B1.larva","B2.larva","B3.larva","B4.larva","B5.larva","B6.larva","B7.larva","B8.larva","B9.larva","B10.larva","B11.larva","B12.larva","C1.larva","C2.larva","C3.larva","C4.larva","C5.larva","C6.larva","C7.larva","C8.larva","C9.larva","C10.larva","C11.larva"
"2280","XM_022466939.1","XM_022466939.1 PREDICTED: Crassostrea virginica uncharacterized LOC111124078 (LOC111124078), mRNA"," uncharacterized LOC111124078 (LOC111124078), mRNA","LOC111124078",151.913750566243,42.9565557056705,2.38102711405501,18.0411871213483,9.25346105266482e-73,2.73077084227385e-69,445.921854928317,378.914607683457,308.905765651713,313.002433878547,242.073594680319,316.842898199369,284.644470901807,312.877954930104,256.771198108309,0,0,0,0,0,0,0,0,0,289.523796035909,258.607414212407,237.844024379577,0,0,0
"3045","XM_022475226.1","XM_022475226.1 PREDICTED: Crassostrea virginica heme-binding protein 2-like (LOC111129107), mRNA"," heme-binding protein 2-like (LOC111129107), mRNA","LOC111129107",140.942654709073,7.48152081674222,0.414952901757604,18.0298072023426,1.13687378945623e-72,2.73077084227385e-69,244.863890111771,232.812737009271,233.717558762879,225.104490118133,197.974916579641,326.874863313861,229.035120626288,207.899167420661,234.154045943328,52.5617189375572,77.1019715730108,62.6704103210142,76.5794434333455,57.933474904196,76.3682634258058,55.9926547067417,49.3686328663613,54.4959166864073,183.500997487548,196.541634801429,142.517649529032,61.4164623639663,58.3900468216007,44.7476452738961
"4436","XM_022488848.1","XM_022488848.1 PREDICTED: Crassostrea virginica apolipoprotein D-like (LOC111137400), mRNA"," apolipoprotein D-like (LOC111137400), mRNA","LOC111137400",129.738665804417,7.09387702671898,0.401903356068507,17.6507036321184,1.00496290867465e-69,1.60928060442434e-66,244.863890111771,235.188377182835,212.882272516576,191.874779672123,163.258935947192,265.011078441161,215.83968157786,221.621884742157,179.606796604258,75.371521495365,87.7776291754277,65.1280734708579,78.2087932936294,77.2446332055947,72.3488811402371,39.1948582947192,39.6712228390403,34.8416516519653,172.626864303101,144.820151958948,142.517649529032,64.4369441195712,39.37933390294,50.0120741296486
"3204","XM_022476779.1","XM_022476779.1 PREDICTED: Crassostrea virginica epididymal secretory protein E1-like (LOC111130084), mRNA"," epididymal secretory protein E1-like (LOC111130084), mRNA","LOC111130084",126.324928849055,7.92690211082182,0.465373732828125,17.0334111094951,4.64178255504989e-65,5.57478084861492e-62,124.678402763333,191.239033971902,148.564649756249,364.454888762692,377.184438222823,489.894296424354,148.919954975117,156.438977465052,162.311327301625,67.4376771274319,42.7026304096675,38.0937788225772,42.3630963673826,61.4445945953594,68.3294988546684,35.1953829585233,24.6843164331806,37.5217787021165,104.663531900305,123.097129165106,87.7757709019867,45.3072263340735,42.7741040669865,46.7218060948033
"4437","XM_022488849.1","XM_022488849.1 PREDICTED: Crassostrea virginica apolipoprotein D-like (LOC111137401), mRNA"," apolipoprotein D-like (LOC111137401), mRNA","LOC111137401",147.910361130705,7.7456185369373,0.457667364707902,16.9241224833254,2.98766567063203e-64,2.87054917634325e-61,316.750536750089,245.878757963873,245.494024902094,229.392194691812,197.974916579641,314.334906920746,242.230559674716,242.205960724401,240.806149521264,86.2805575012731,87.7776291754277,81.1028839448418,79.8381431539134,95.6780115842025,86.4167191397276,38.39496322748,39.6712228390403,40.2019057522677,213.404863744778,137.579144361,156.675031932578,62.4232896158346,29.1950234108003,40.1412700251127
"2353","XM_022467886.1","XM_022467886.1 PREDICTED: Crassostrea virginica transforming growth factor-beta-induced protein ig-h3-like (LOC111124735), mRNA"," transforming growth factor-beta-induced protein ig-h3-like (LOC111124735), mRNA","LOC111124735",63.3002233720639,32.7735268676553,2.38438883045617,13.7450429430947,5.45406855020822e-43,4.36689088586671e-40,254.972949795285,201.92941475294,183.894048173894,138.278472501139,96.6417839227632,126.235561024023,108.391106469231,76.1610811343016,74.5035600728772,0,0,0,0,0,15.0726835708827,0,0,0,91.070865419746,76.5477946068724,75.50603948558,0,0,0
"2012","XM_022463568.1","XM_022463568.1 PREDICTED: Crassostrea virginica elastase-1-like (LOC111122041), mRNA"," elastase-1-like (LOC111122041), mRNA","LOC111122041",493.746702370524,3.21916697010438,0.24281844058806,13.2575061527789,4.08247324249693e-40,2.80174306527932e-37,580.709317375164,702.00167128816,624.152705378387,633.508350761032,784.393508343981,823.457136481209,450.52999036776,614.777736003011,635.941102050631,449.253937334215,463.798013616111,442.379366971865,467.623409901492,433.623281858679,452.180507126482,234.369254701076,247.724747061563,214.410164012094,536.910325982085,543.075569846054,529.48610189263,338.293956627749,335.403292207799,311.917409703335
"967","XM_022450957.1","XM_022450957.1 PREDICTED: Crassostrea virginica cathepsin L1-like (LOC111113026), transcript variant X2, mRNA"," cathepsin L1-like (LOC111113026), transcript variant X2, mRNA","LOC111113026",609.756726429879,4.6281622376048,0.351342569761155,13.1727909907161,1.25857538526802e-39,7.55774518853444e-37,889.597252149187,1015.58617419861,949.364347222859,1204.84498520372,1194.41738770561,1441.25898811533,449.587459007158,652.515208637125,657.227833500024,576.195447221146,635.794719432828,484.159640519207,594.71269900364,524.912393828928,479.311337554071,193.574606271878,200.119279654714,138.473230924477,517.880592909302,432.391596563144,577.621202064687,241.638540448392,254.607762303491,328.368749877561
"3682","XM_022481309.1","XM_022481309.1 PREDICTED: Crassostrea virginica cystatin-A-like (LOC111133180), mRNA"," cystatin-A-like (LOC111133180), mRNA","LOC111133180",138.872564726085,-10.8410440788328,0.854217531664043,-12.6911982919785,6.61656441170279e-37,3.53177504820225e-34,41.5594675877777,46.3249833844979,16.305876192759,8.57540914735745,0,10.8679622073662,21.6782212938462,51.4601899556092,55.8776700546579,139.834006984822,190.975652665458,131.484978516638,200.410032814925,134.300328187,124.600850852631,277.563588331991,399.356976579673,384.151543855002,131.848864861423,103.442965684963,116.090535709079,316.143757086646,183.317588858514,246.770102613398
"39","XM_022430770.1","XM_022430770.1 PREDICTED: Crassostrea virginica cystatin-A-like (LOC111099480), mRNA"," cystatin-A-like (LOC111099480), mRNA","LOC111099480",166.135588037235,-9.76538259854177,0.774992909394955,-12.6006089606235,2.09520578315811e-36,1.00653685822915e-33,86.4886217367265,85.5230462483038,52.5411566211124,9.64733529077713,0,7.52397383586892,44.2989739482944,68.6135866074789,65.1906150637676,150.74304299073,208.768415336152,201.528378287183,205.298082395777,229.100559848412,116.562086281493,285.562539004383,446.962443986521,320.721870334758,221.560463633113,130.338136763053,147.236776996881,387.628491969295,197.575623547509,317.839892166056
"2936","XM_022473993.1","XM_022473993.1 PREDICTED: Crassostrea virginica fatty acid-binding protein-like (LOC111128399), mRNA"," fatty acid-binding protein-like (LOC111128399), mRNA","LOC111128399",243.309856984022,3.40591481686685,0.270910369056263,12.572109471969,3.00594852810921e-36,1.31277970263969e-33,380.774581412341,394.356268811623,380.470444497711,400.900377638961,394.073293665636,478.190337124113,248.82827919893,256.614813911971,176.945955173083,229.08975612407,221.816441294662,237.164493959916,198.780682954641,258.06729730051,234.129018134378,96.7873031359392,89.0398557054016,113.458711789733,228.356796873393,186.197338232933,215.192212533903,140.955815261562,135.790806561862,143.455686319255
"2601","XM_022470486.1","XM_022470486.1 PREDICTED: Crassostrea virginica prisilkin-39-like (LOC111126084), mRNA"," prisilkin-39-like (LOC111126084), mRNA","LOC111126084",1296.08380862928,-6.19354345692711,0.493917145457737,-12.5396405325984,4.53045899470351e-36,1.81369375087964e-33,486.358093662371,684.18436998643,463.811589482924,419.123122077095,356.542503792719,384.558662722189,541.955532346155,472.061475859455,562.767962693341,829.086736449015,953.692079149242,783.994544800138,785.346632656862,657.457162170346,840.050897683864,3585.92958643318,5620.97148492713,2335.28403636506,978.671986600256,664.103839697461,802.251669534288,3200.70383368933,2199.13211226935,2497.97149205455
"3885","XM_022483619.1","XM_022483619.1 PREDICTED: Crassostrea virginica uncharacterized LOC111134516 (LOC111134516), mRNA"," uncharacterized LOC111134516 (LOC111134516), mRNA","LOC111134516",590.431846349387,3.04247802379664,0.249463463973062,12.1960866546982,3.26124267374266e-34,1.20515460035844e-31,773.904680215643,706.752951635288,818.011455670078,704.255476226731,766.566383154345,751.561386494017,576.829192688429,808.954186102177,818.208740086063,649.583507624527,577.671694708558,535.770566665925,617.523597047615,545.979111975908,552.6650642657,276.763693264752,289.159135360116,303.747732350467,638.855324586278,748.92707155913,648.408114082418,345.341747390827,393.7933390294,321.130160200902
