"Day","moduleColor","GO_term","GO_ID","ontology","pvalue","Gene_count","Gene_ratio","Transcript_ID","geneSymbol","Protein_name"
"Day2_hightemp","brown","generation of precursor metabolites and energy","GO:0006091","BP",3.24690899236581e-13,17,0.0787037037037037,"XM_022458163.1","LOC111118611"," cytochrome b-c1 complex subunit 6, mitochondrial-like"
"Day2_hightemp","brown","generation of precursor metabolites and energy","GO:0006091","BP",3.24690899236581e-13,17,0.0787037037037037,"XM_022471841.1","LOC111126908"," cytochrome b-c1 complex subunit 8-like"
"Day2_hightemp","brown","generation of precursor metabolites and energy","GO:0006091","BP",3.24690899236581e-13,17,0.0787037037037037,"XM_022486812.1","LOC111136161"," cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like"
"Day2_hightemp","brown","generation of precursor metabolites and energy","GO:0006091","BP",3.24690899236581e-13,17,0.0787037037037037,"XM_022482199.1","LOC111133662"," cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like"
"Day2_hightemp","brown","generation of precursor metabolites and energy","GO:0006091","BP",3.24690899236581e-13,17,0.0787037037037037,"XM_022457734.1","LOC111118329"," cytochrome c oxidase subunit 5B, mitochondrial-like"
"Day2_hightemp","brown","generation of precursor metabolites and energy","GO:0006091","BP",3.24690899236581e-13,17,0.0787037037037037,"XM_022480579.1","LOC111132762"," cytochrome c oxidase subunit 6A2, mitochondrial-like"
"Day2_hightemp","brown","generation of precursor metabolites and energy","GO:0006091","BP",3.24690899236581e-13,17,0.0787037037037037,"XM_022488123.1","LOC111136940"," fructose-bisphosphate aldolase-like"
"Day2_hightemp","brown","generation of precursor metabolites and energy","GO:0006091","BP",3.24690899236581e-13,17,0.0787037037037037,"XM_022480922.1","LOC111132960"," fumarate hydratase class I, aerobic-like"
"Day2_hightemp","brown","generation of precursor metabolites and energy","GO:0006091","BP",3.24690899236581e-13,17,0.0787037037037037,"XM_022436380.1","LOC111103250"," isocitrate dehydrogenase [NADP], mitochondrial-like"
"Day2_hightemp","brown","generation of precursor metabolites and energy","GO:0006091","BP",3.24690899236581e-13,17,0.0787037037037037,"XM_022487600.1","LOC111136621"," malate dehydrogenase, mitochondrial-like"
