"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105318798","crg04120","Ubiquitin mediated proteolysis","105343163/105320746/105321026/105318798/105335778/105329514",6,"105318798","elongin-B"
"2","crg:105320746","crg04120","Ubiquitin mediated proteolysis","105343163/105320746/105321026/105318798/105335778/105329514",6,"105320746","NEDD8-conjugating enzyme UBE2F"
"3","crg:105321021","crg03015","mRNA surveillance pathway","105326211/105331297/105321021/105325000",4,"105321021","RNA-binding protein with serine-rich domain 1-B"
"4","crg:105321026","crg04120","Ubiquitin mediated proteolysis","105343163/105320746/105321026/105318798/105335778/105329514",6,"105321026","ubiquitin-conjugating enzyme E2 S"
"5","crg:105325000","crg03015","mRNA surveillance pathway","105326211/105331297/105321021/105325000",4,"105325000","eukaryotic peptide chain release factor subunit 1"
"6","crg:105325532","crg04144","Endocytosis","105325532/105328967/105334480/105339682/105342944/105345381/105334326/105327336",8,"105325532","caveolin-1 isoform X1"
"7","crg:105326211","crg03015","mRNA surveillance pathway","105326211/105331297/105321021/105325000",4,"105326211","serine/threonine-protein phosphatase alpha-2 isoform"
"8","crg:105327336","crg04144","Endocytosis","105325532/105328967/105334480/105339682/105342944/105345381/105334326/105327336",8,"105327336","ras-related protein Rab-5C"
"9","crg:105328967","crg04144","Endocytosis","105325532/105328967/105334480/105339682/105342944/105345381/105334326/105327336",8,"105328967","partitioning defective 3 homolog"
"10","crg:105329514","crg04120","Ubiquitin mediated proteolysis","105343163/105320746/105321026/105318798/105335778/105329514",6,"105329514","kelch-like protein 23"
"11","crg:105331297","crg03015","mRNA surveillance pathway","105326211/105331297/105321021/105325000",4,"105331297","cleavage stimulation factor subunit 2 isoform X1"
"12","crg:105334326","crg04144","Endocytosis","105325532/105328967/105334480/105339682/105342944/105345381/105334326/105327336",8,"105334326","caveolin-1"
"13","crg:105334480","crg04144","Endocytosis","105325532/105328967/105334480/105339682/105342944/105345381/105334326/105327336",8,"105334480","F-actin-capping protein subunit beta"
"14","crg:105335778","crg04120","Ubiquitin mediated proteolysis","105343163/105320746/105321026/105318798/105335778/105329514",6,"105335778","ubiquitin-conjugating enzyme E2 D2B"
"15","crg:105339682","crg04144","Endocytosis","105325532/105328967/105334480/105339682/105342944/105345381/105334326/105327336",8,"105339682","caveolin-1"
"16","crg:105342944","crg04144","Endocytosis","105325532/105328967/105334480/105339682/105342944/105345381/105334326/105327336",8,"105342944","caveolin-1"
"17","crg:105343163","crg04120","Ubiquitin mediated proteolysis","105343163/105320746/105321026/105318798/105335778/105329514",6,"105343163","pre-mRNA-processing factor 19"
"18","crg:105345381","crg04144","Endocytosis","105325532/105328967/105334480/105339682/105342944/105345381/105334326/105327336",8,"105345381","AP-2 complex subunit mu"
