"Day","moduleColor","GO_term","GO_ID","ontology","pvalue","Gene_count","Gene_ratio","Transcript_ID","Protein_name","KEGG_ID"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022483138.1"," catalase-like","crg:105339901"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022468543.1"," ganglioside GM2 activator-like","crg:105320698"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022432399.1"," hexokinase-2-like","crg:105346675"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022472782.1"," inositol oxygenase-like","crg:105332136"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022468413.1"," mitochondria-eating protein-like","crg:105320964"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022463532.1"," pancreatic triacylglycerol lipase-like","crg:105344176"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022459096.1"," pancreatic triacylglycerol lipase-like","crg:105345185"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022457451.1"," pancreatic triacylglycerol lipase-like","crg:105329276"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022433377.1"," peptidoglycan-recognition protein SC2-like","crg:105325078"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022431191.1"," peptidoglycan-recognition protein SC2-like","crg:105325079"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022433733.1"," peptidoglycan-recognition protein SC2-like","crg:105325079"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022448304.1"," phospholipase B1, membrane-associated-like","crg:105344760"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022469926.1"," trichohyalin-like","crg:105317855"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022473914.1"," uncharacterized","crg:105318146"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022439594.1"," uncharacterized","crg:105335906"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022439588.1"," uncharacterized","crg:105335906"
"Day18","blue","catabolic process","GO:0009056","BP",1.03975423857481e-05,17,0.0230040595399188,"XM_022487647.1"," uncharacterized","crg:105343298"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022475438.1"," aldose 1-epimerase-like","crg:105323106"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022467411.1"," alpha-amylase-like","crg:105348751;crg:105348748"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022467410.1"," alpha-amylase-like","crg:105348751;crg:105348748"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022489627.1"," anti-sigma-I factor RsgI6-like","crg:105327293"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022461046.1"," chitotriosidase-1-like","crg:105332578"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022482782.1"," endoglucanase 14-like","crg:105330260"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022432399.1"," hexokinase-2-like","crg:105346675"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022472782.1"," inositol oxygenase-like","crg:105332136"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022451106.1"," lysozyme 1-like","crg:105322786"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022451104.1"," lysozyme 1-like","crg:105322786"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022433002.1"," lysozyme 3","crg:105322786"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022446722.1"," lysozyme 3-like","crg:105322786"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022467246.1"," trehalase-like","crg:105345011"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",6.39861517579579e-05,14,0.024822695035461,"XM_022468642.1"," uncharacterized","crg:105329702"
"Day18","blue","generation of precursor metabolites and energy","GO:0006091","BP",0.002690498057791,7,0.0324074074074074,"XM_022458163.1"," cytochrome b-c1 complex subunit 6, mitochondrial-like","crg:105336649"
"Day18","blue","generation of precursor metabolites and energy","GO:0006091","BP",0.002690498057791,7,0.0324074074074074,"XM_022434407.1"," cytochrome b-c1 complex subunit 7-like","crg:105329512;crg:105317345"
"Day18","blue","generation of precursor metabolites and energy","GO:0006091","BP",0.002690498057791,7,0.0324074074074074,"XM_022466146.1"," cytochrome b-c1 complex subunit 8-like","crg:105343627"
"Day18","blue","generation of precursor metabolites and energy","GO:0006091","BP",0.002690498057791,7,0.0324074074074074,"XM_022477667.1"," cytochrome c oxidase subunit 5A, mitochondrial-like","crg:105340053"
"Day18","blue","generation of precursor metabolites and energy","GO:0006091","BP",0.002690498057791,7,0.0324074074074074,"XM_022432399.1"," hexokinase-2-like","crg:105346675"
"Day18","blue","generation of precursor metabolites and energy","GO:0006091","BP",0.002690498057791,7,0.0324074074074074,"XM_022467991.1"," uncharacterized","crg:105347102"
